# wl/A Fl/erg/s/cm2/A
4357.7 1.5123e-17
4357.9 1.3749e-17
4358.0 1.1458e-17
4358.3 9.1672e-18
4358.6 1.0466e-17
4358.8 1.5584e-17
4358.8 1.1918e-17
4358.9 1.9250e-17
4359.0 2.1938e-17
4359.0 2.4877e-17
4359.0 2.7287e-17
4359.0 2.9698e-17
4359.2 3.3085e-17
4359.2 4.2555e-17
4359.2 3.5055e-17
4359.3 3.9453e-17
4359.3 4.5327e-17
4359.4 4.8525e-17
4359.4 5.0936e-17
4359.5 5.4945e-17
4359.7 5.8663e-17
4360.2 5.9874e-17
4361.0 6.0048e-17
4361.8 5.9195e-17
4362.3 5.7152e-17
4362.9 6.1439e-17
4363.8 6.2152e-17
4364.5 6.4007e-17
4365.1 6.2021e-17
4365.4 5.9743e-17
4365.4 5.7352e-17
4365.6 5.5254e-17
4365.6 5.2844e-17
4365.6 4.9673e-17
4365.8 4.7851e-17
4365.8 4.5440e-17
4365.9 4.0440e-17
4366.3 3.2578e-17
4366.3 3.0461e-17
4366.4 3.5910e-17
4366.8 3.8383e-17
4366.9 4.0770e-17
4367.1 4.4710e-17
4367.3 4.7185e-17
4367.5 5.0042e-17
4367.9 5.2787e-17
4368.4 5.5741e-17
4368.6 4.9952e-17
4368.6 5.2363e-17
4368.7 4.6446e-17
4368.8 3.7882e-17
4368.8 4.3065e-17
4368.8 4.0654e-17
4368.9 3.4688e-17
4369.0 2.6564e-17
4369.0 3.1385e-17
4369.0 2.8975e-17
4369.1 2.3229e-17
4369.5 1.6128e-17
4369.5 1.3383e-17
4369.6 2.0194e-17
4370.0 2.3263e-17
4370.0 2.6509e-17
4370.0 3.1330e-17
4370.0 2.8919e-17
4370.1 3.4619e-17
4370.2 3.7415e-17
4370.4 4.1938e-17
4370.4 3.9608e-17
4370.4 4.4362e-17
4370.5 4.7586e-17
4370.5 5.1248e-17
4370.6 5.4667e-17
4370.8 4.9670e-17
4371.0 4.3167e-17
4371.2 3.9655e-17
4371.3 4.5367e-17
4371.4 3.7143e-17
4371.4 3.4008e-17
4371.8 4.8439e-17
4371.8 4.5526e-17
4371.8 4.2498e-17
4371.9 5.1653e-17
4372.2 5.6228e-17
4372.4 5.3696e-17
4372.6 4.9732e-17
4372.8 4.7188e-17
4372.8 4.2041e-17
4372.8 4.4452e-17
4372.8 3.8872e-17
4373.0 3.6709e-17
4373.0 3.1796e-17
4373.0 3.4409e-17
4373.0 2.9386e-17
4373.0 2.5967e-17
4373.2 2.3991e-17
4373.2 1.9169e-17
4373.2 2.1580e-17
4373.2 1.5776e-17
4373.4 1.3774e-17
4373.4 1.1364e-17
4373.5 7.9373e-18
4373.9 4.3990e-18
4374.3 7.6669e-18
4374.5 1.0490e-17
4374.9 1.5199e-17
4374.9 1.7145e-17
4375.0 1.9842e-17
4375.2 1.1454e-17
4375.4 1.4736e-17
4375.5 1.0981e-17
4375.6 9.4173e-18
4375.7 5.7961e-18
4376.0 8.1542e-19
4376.0 2.5641e-18
4377.0 1.1230e-18
4377.7 1.4467e-18
4378.5 2.5227e-18
4379.3 1.4498e-18
4379.9 5.4888e-18
4380.0 8.6238e-18
4380.1 1.1997e-17
4380.5 1.6721e-17
4381.4 1.7294e-17
4381.7 2.2154e-17
4381.8 2.4240e-17
4381.8 2.6077e-17
4381.8 2.8487e-17
4381.8 3.1036e-17
4381.9 3.8934e-17
4382.0 3.6420e-17
4382.0 4.2033e-17
4382.0 3.9623e-17
4382.1 4.6352e-17
4382.1 4.9840e-17
4382.3 5.2330e-17
4382.6 5.5816e-17
4382.9 5.9692e-17
4383.1 6.3950e-17
4383.6 6.6872e-17
4384.2 6.8782e-17
4384.7 6.6686e-17
4385.2 6.8520e-17
4385.5 6.5789e-17
4385.7 6.2952e-17
4386.0 5.8527e-17
4386.0 5.3522e-17
4386.0 5.6081e-17
4386.1 5.0058e-17
4386.2 4.1871e-17
4386.2 4.4282e-17
4386.2 4.6692e-17
4386.3 3.8206e-17
4386.6 3.2493e-17
4386.7 3.4597e-17
4387.0 3.9519e-17
4387.1 4.2696e-17
4387.2 4.5489e-17
4387.5 4.8635e-17
4387.7 5.1555e-17
4387.8 5.3641e-17
4387.9 5.6436e-17
4388.3 6.0315e-17
4389.0 6.1205e-17
4389.5 5.6065e-17
4389.6 5.1438e-17
4389.8 4.7102e-17
4389.8 4.8767e-17
4389.8 4.3280e-17
4390.3 3.5780e-17
4390.3 3.2944e-17
4390.3 3.8623e-17
4390.4 4.1129e-17
4391.0 4.4039e-17
4391.7 4.7071e-17
4392.3 4.6350e-17
4392.6 4.3117e-17
4392.8 4.0491e-17
4393.0 3.7400e-17
4393.5 3.4997e-17
4393.8 3.1835e-17
4394.0 2.6564e-17
4394.0 2.8974e-17
4394.0 2.4153e-17
4394.1 2.0211e-17
4394.2 1.6692e-17
4394.2 1.3337e-17
4394.6 9.3666e-18
4395.0 1.2825e-17
4395.0 1.5345e-17
4395.1 1.9674e-17
4395.2 2.4845e-17
4395.2 2.2393e-17
4395.5 3.0528e-17
4395.6 2.7928e-17
4396.0 2.5355e-17
4396.2 2.2656e-17
4396.2 1.9796e-17
4396.2 1.6444e-17
4396.4 1.1971e-17
4396.4 1.4975e-17
4396.5 8.6615e-18
4396.7 4.5238e-18
4397.1 2.7463e-18
4397.5 2.3300e-19
4397.8 3.9848e-18
4398.7 5.8351e-18
4398.9 1.0672e-17
4399.2 1.6101e-17
4399.5 1.7313e-17
4400.2 1.4196e-17
4400.6 1.2930e-17
4400.8 1.1248e-17
4401.2 1.0182e-17
4401.6 9.0405e-18
4401.6 7.8917e-18
4401.9 6.5096e-18
4402.3 6.7476e-18
4402.7 5.7253e-18
4402.9 3.3118e-18
4403.0 4.6870e-18
4403.3 6.2916e-18
4403.5 4.8731e-18
4403.9 4.0015e-18
4404.3 3.4345e-18
4405.1 2.7838e-18
4405.9 2.5659e-18
4406.1 1.4861e-18
4406.5 2.4035e-18
4406.7 1.6129e-18
4407.3 8.0153e-19
4407.6 1.6170e-18
4407.7 2.4065e-18
4408.1 1.4908e-18
4408.3 1.7203e-18
4408.5 2.3244e-18
4408.7 3.0960e-18
4408.9 2.1800e-18
4409.2 2.3606e-18
4409.6 2.4107e-18
4409.7 1.9528e-18
4410.0 2.2729e-18
4410.3 1.7250e-18
4410.7 2.7559e-18
4411.2 4.7980e-18
4411.5 5.1647e-18
4411.9 5.3804e-18
4412.3 6.5414e-18
4412.7 5.4142e-18
4413.2 5.1687e-18
4413.5 6.0370e-18
4413.7 7.2319e-18
4413.9 5.3994e-18
4414.2 5.3999e-18
4414.5 7.2892e-18
4414.8 8.8383e-18
4414.9 1.1287e-17
4415.1 1.3193e-17
4415.5 1.5183e-17
4415.8 1.6631e-17
4416.1 1.7475e-17
4416.3 1.7091e-17
4416.5 1.8237e-17
4416.8 1.9401e-17
4417.0 2.0529e-17
4417.1 2.3508e-17
4417.4 2.2932e-17
4417.5 2.2134e-17
4417.8 2.3968e-17
4418.0 2.5343e-17
4418.1 2.6031e-17
4418.4 2.6031e-17
4418.6 2.4428e-17
4418.7 2.3512e-17
4418.9 2.2137e-17
4419.2 2.3513e-17
4419.5 2.3514e-17
4419.6 2.1681e-17
4420.1 2.1224e-17
4420.4 2.1454e-17
4420.7 2.2142e-17
4420.8 2.0996e-17
4421.0 1.9393e-17
4421.3 1.9622e-17
4421.5 1.9920e-17
4421.9 1.9395e-17
4422.2 1.8479e-17
4422.4 1.6313e-17
4422.7 1.9397e-17
4422.9 2.1001e-17
4423.1 1.9306e-17
4423.3 1.8481e-17
4423.5 1.9398e-17
4423.9 2.0023e-17
4424.4 2.0317e-17
4424.7 2.1206e-17
4425.1 2.1464e-17
4425.5 2.1984e-17
4426.1 2.2969e-17
4426.4 2.5362e-17
4426.4 2.7654e-17
4426.9 2.7594e-17
4427.0 2.4906e-17
4427.3 2.8572e-17
4427.5 2.6740e-17
4427.7 2.8691e-17
4427.9 2.9949e-17
4428.2 2.8574e-17
4428.4 2.9817e-17
4429.1 3.0298e-17
4429.5 3.2748e-17
4429.9 3.2244e-17
4430.3 3.3390e-17
4430.8 3.3621e-17
4430.9 3.6371e-17
4431.1 3.5280e-17
4431.5 3.5938e-17
4431.9 3.7932e-17
4432.2 3.9582e-17
4432.5 3.8890e-17
4432.8 3.7292e-17
4433.1 3.8378e-17
4433.2 4.0043e-17
4433.5 4.1418e-17
4433.7 3.9585e-17
4434.0 4.1419e-17
4434.4 4.4170e-17
4434.8 4.2337e-17
4434.9 4.0963e-17
4435.1 4.2234e-17
4435.4 4.4630e-17
4435.7 4.4787e-17
4436.0 4.3715e-17
4436.3 4.4168e-17
4436.6 4.5549e-17
4437.3 4.4765e-17
4438.1 4.6150e-17
4438.4 4.9220e-17
4438.7 4.7739e-17
4439.0 4.6472e-17
4439.4 4.7378e-17
4439.9 4.9223e-17
4440.3 4.8191e-17
4440.7 4.6934e-17
4441.1 4.7980e-17
4441.3 4.9226e-17
4442.0 4.7991e-17
4442.7 4.8248e-17
4443.5 4.7944e-17
4444.4 4.8858e-17
4445.2 5.1427e-17
4445.8 5.1142e-17
4446.3 4.8542e-17
4447.1 4.9698e-17
4447.3 4.8125e-17
4448.2 4.8908e-17
4448.8 4.7509e-17
4449.5 4.2379e-17
4449.5 4.4635e-17
4450.3 4.8198e-17
4451.0 4.9812e-17
4451.6 4.8911e-17
4451.9 4.6336e-17
4452.2 4.2445e-17
4452.3 3.9191e-17
4452.6 3.4467e-17
4452.8 2.9297e-17
4452.9 3.2902e-17
4453.2 3.6342e-17
4453.2 4.0589e-17
4453.2 3.8179e-17
4453.3 4.3964e-17
4453.6 4.8871e-17
4454.3 5.2713e-17
4455.2 5.1822e-17
4455.9 5.0293e-17
4456.7 5.0989e-17
4457.5 5.0076e-17
4458.3 4.9787e-17
4458.9 4.8491e-17
4459.4 4.6721e-17
4459.9 4.9843e-17
4460.6 5.1811e-17
4461.0 4.9633e-17
4461.5 5.1808e-17
4461.8 4.9732e-17
4462.1 4.8357e-17
4462.4 5.2147e-17
